No;Label;Username;Tweet
0;none;chyrisalys;wifi watcha pasti indihome
1;complaint;woiidal;indihome ada masalah apasih??!!
2;compliment;ranieaw;sore sore hujan rebahan bareng bocil nonton nussa dan rara di youtube pakek wifi IndiHome biar lancar dong?? https://t.co/yitRsTk7w7
3;none;daeguv_;indihome plis untuk tanggal 10,13 jangan kesurupan??
4;complaint;fiorincha;INDIHOME NGAPASIIII
5;compliment;fancyboy2608;Mager Day. ?? Ga masalah sih mager selama masih ada koneksi dari IndiHome ?? https://t.co/mhx8Lbij3O
6;complaint;caormilla;asli indihome knp si nangis???? #.
7;compliment;indryindryindry;Baru dpt iklan dari Indihome untuk movie Dream work kayaknya keren nih. Lumayan tambahan film animasi buat bocah2 dirumah ?? https://t.co/OWcoIMlWFq
8;complaint;butterkookiezz;Ini indihome sama kartu telkomsel aing lg bermasalah ya? Kok lelet bgt shit mo ngapain2 susah??
9;compliment;minaniiiii;Hanya di indihome gue bisa puas nonton bola
10;complaint;hiiekkz;indihome sdg tidak baik-baik saja bung
11;campaign;useetvcom;Jadwal NBA Live Games untuk 9 - 12 Maret 2022. Jangan lewatkan pertandingannya!Fire Subscribe minipack IndiBasketball dari layar TV atau myIndiHome kamu sekarang. ??#AktivitasTanpaBatas #HomeofPremiumSports #IndiHome #IndiHomeTV #NBA https://t.co/UYaPeUCRx8
12;none;7shal;@MartabakKingJbr @IndiHome #pakebiznet @BiznetHome
13;inquiry;giowrina;@IndiHomeCare min ini kenapa wifi indihome di rumah ada yang gabisa dikonekin ke hp ya? tapi ke hp lainnya bisa cuma satu hp aja yang gabisa padahal udah direstart juga
14;complaint;ibramaul;Min @IndiHome , jqringan lagi lelet ada gangguan dimana sih, seharian ga bisa kerja nih
15;complaint;ishidoppa;Indihome ni knp si
16;own tweet;indihomecare;@Paska86652877 Hai Kak Paska. Kembali kasih atas apresiasinya. Semoga kami selalu bisa memberikan pelayanan terbaik untuk pelanggan setia IndiHome. -Raizel
17;campaign;sangwarior;@IndiHomeJBN Keren indihome.. ?? #aktivitastanpabatas #InternetnyaIndonesia
18;compliment;bapacksixpack;enak yah pakai indihome bebas mau streaming film apa aja https://t.co/Q1iT2N0vDw
19;complaint;fajarmarthas;AYO DONG PERKARAKAN INDIHOME! #perkarakanindihome
20;compliment;bapacksixpack;Walaupun lagi kerja, tapi harus tetap refreshing juga dengan main game, its okay lah.. mumpung pakai jaringan Indihome mainnya auto lancar jaya dan menang terus. fix! ???? https://t.co/v8OEOXIGzf
21;inquiry;evigitaw;Min baca dm yaw @IndiHome
22;complaint;wahyuwidian;"@IndiHome goblog"" apa males ya karyawan indihome. Buat proses menon aktifkan layanan. Bilangnya nanti di proses sampe sekarang ga diproses"". Ga profesional. Gw jadinya bayar mulu njing padahal ga ada pemakaian bulan ini https://t.co/hvfCi5GvR8"
