id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1505324379827478529,1505324379827478529,2022-03-20 06:24:34 SE Asia Standard Time,2022-03-20,06:24:34,+0700,1090254983130316801,mooncakeluv,w,,Yaelah indihome pagi-pagi knp si jelek bgt u sinyal,in,[],[],[],0,0,0,[],[],https://twitter.com/mooncakeluv/status/1505324379827478529,False,,0,,,,,,,,[],,,,
1505324272180359169,1505130337390653443,2022-03-20 06:24:08 SE Asia Standard Time,2022-03-20,06:24:08,+0700,1454093940643172355,itsmechch,itsmecha,,@IndiHomeCare emg mantap bgt indihome😍😍😍,in,[],[],[],0,0,0,[],[],https://twitter.com/itsmechch/status/1505324272180359169,False,,0,,,,,,,,"[{'screen_name': 'IndiHomeCare', 'name': 'IndiHomeCare', 'id': '765035200896118789'}]",,,,
1505323823486304257,1505323823486304257,2022-03-20 06:22:21 SE Asia Standard Time,2022-03-20,06:22:21,+0700,1481268009205649411,widjiae,wiji,,"Framelook minggu ini akan membahas tentang Wildest Dress Photography. Wah kira-kira apa ya tips &amp; trik jenis fotografi ini?  Nonton di channel @usee_photo pada layanan IndiHome TV, streaming via UseeTV GO  &amp;  https://t.co/ruDDUfSDuU  #AktivitasTanpaBatas",in,"[{'screen_name': 'usee_photo', 'name': 'usee photo', 'id': '1479316749107359747'}]",['http://useetv.com'],[],0,0,0,['aktivitastanpabatas'],[],https://twitter.com/widjiae/status/1505323823486304257,False,,0,,,,,,,,[],,,,
1505322834851028992,1505197739948535820,2022-03-20 06:18:26 SE Asia Standard Time,2022-03-20,06:18:26,+0700,1094455937073434625,onellicia,SK onel,,@okyy1x indihome moments,ca,[],[],[],0,0,0,[],[],https://twitter.com/onellicia/status/1505322834851028992,False,,0,,,,,,,,"[{'screen_name': 'okyy1x', 'name': 'okyyvfx', 'id': '1333988440707239936'}]",,,,
1505322035060555776,1505322035060555776,2022-03-20 06:15:15 SE Asia Standard Time,2022-03-20,06:15:15,+0700,1472009762283802626,uzulviana,Ummi Zulviana,,"Wih mkin penasaran sama Bucket Listnya KA'I, hari ini lanjut lagi nonton episodex di YouTube Indihome tayang secara eksklusif 🥰  https://t.co/39gm2ozT1O",in,[],[],[],0,0,0,[],[],https://twitter.com/UZulviana/status/1505322035060555776,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1505321992626774019/pu/img/9xY5qzOcRC8mLZX8.jpg,,,,,,,[],,,,
1505321652640706560,1505155301573488642,2022-03-20 06:13:44 SE Asia Standard Time,2022-03-20,06:13:44,+0700,765035200896118789,indihomecare,IndiHomeCare,,"@JojoAr08 Hai, Kak Jojo. Syavi  informasikan jatuh tempo pembayaran IndiHome adalah tanggal 20 setiap bulannya. Jangan sampai telat ya agar tidak dikenakan denda dan pastinya jaringan Kakak tidak akan...  https://t.co/cBEOOWL8Q0",in,[],['https://myih.ch/t/89KyPSvDnX73'],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1505321652640706560,False,,0,,,,,,,,"[{'screen_name': 'JojoAr08', 'name': 'Jojo_Ar', 'id': '1457702468553302016'}]",,,,
1505320985415028736,1505018860218454019,2022-03-20 06:11:05 SE Asia Standard Time,2022-03-20,06:11:05,+0700,102927552,iman_manul,iman nul islam,,"@TretanMuslim Hussh ninuninuninu, tar nda bole jadi bintang iklan @IndiHome lg baru tau rasa🤣🤣",in,"[{'screen_name': 'indihome', 'name': 'indihome', 'id': '1075673058931806208'}]",[],[],0,0,0,[],[],https://twitter.com/iman_manul/status/1505320985415028736,False,,0,,,,,,,,"[{'screen_name': 'TretanMuslim', 'name': 'Pro Gamers', 'id': '533359500'}]",,,,
1505320808566394883,1505320808566394883,2022-03-20 06:10:22 SE Asia Standard Time,2022-03-20,06:10:22,+0700,1505320484568956928,ilham14006728,ilham,,@IndiHome chat cs,en,[],[],[],0,0,0,[],[],https://twitter.com/ilham14006728/status/1505320808566394883,False,,0,,,,,,,,[],,,,
1505320803982000128,1505320803982000128,2022-03-20 06:10:21 SE Asia Standard Time,2022-03-20,06:10:21,+0700,1393245803502706689,mesyaadll,M,,indihome ngapa daj,tl,[],[],[],0,0,0,[],[],https://twitter.com/mesyaadll/status/1505320803982000128,False,,0,,,,,,,,[],,,,
1505320445784244226,1505320445784244226,2022-03-20 06:08:56 SE Asia Standard Time,2022-03-20,06:08:56,+0700,1453931207184453643,agusismayadi,Agus Ismayadi,,Paket spesial untuk para gamers nih! IndiHome Paket Gamer. Kira-kira kelebihan paket ini apa aja ya👌🏻👌🏻🤗  #InternetnyaIndonesia  #AktivitasTanpaBatas  #IndiHomeMbois  https://t.co/orGPl6sBmm,in,[],[],[],0,0,0,"['internetnyaindonesia', 'aktivitastanpabatas', 'indihomembois']",[],https://twitter.com/AgusIsmayadi/status/1505320445784244226,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1505320435105562626/pu/img/be8vNTjMxV06pzD_.jpg,,,,,,,[],,,,
1505320357296627716,1505238510621851649,2022-03-20 06:08:35 SE Asia Standard Time,2022-03-20,06:08:35,+0700,911968292163657728,vlasemirputih,iya,,"@sbyfess Di dunia ini semua mandang fisik, cuma dukun aja yang gak mandang fisik sama anak indihome",in,[],[],[],0,0,0,[],[],https://twitter.com/VlasemirPutih/status/1505320357296627716,False,,0,,,,,,,,"[{'screen_name': 'sbyfess', 'name': '🦈 SUROBOYOFESS 🐊', 'id': '1152437175587241985'}]",,,,
1505320266770964485,1505320266770964485,2022-03-20 06:08:13 SE Asia Standard Time,2022-03-20,06:08:13,+0700,367094628,agi_syhrn,Agi syahrain,,napaaaa sih indihome butut astaga kapan glory nya gue🤯🤯🤯🤯🤯,tl,[],[],[],0,0,0,[],[],https://twitter.com/Agi_syhrn/status/1505320266770964485,False,,0,,,,,,,,[],,,,
1505319722761736194,1505316678355533824,2022-03-20 06:06:04 SE Asia Standard Time,2022-03-20,06:06:04,+0700,2206276868,fadsifadhil,fadheel,,"@areyouokbae @NetflixID @IndiHome Iya emang, tp susah nyari vpn yg batasanny luas trus bisa streaming+trusted",in,[],[],[],0,0,0,[],[],https://twitter.com/fadsifadhil/status/1505319722761736194,False,,0,,,,,,,,"[{'screen_name': 'areyouokbae', 'name': 'rae.', 'id': '1246921287382925313'}, {'screen_name': 'NetflixID', 'name': 'Netflix Indonesia', 'id': '1033922521492381696'}, {'screen_name': 'IndiHome', 'name': 'IndiHome', 'id': '1075673058931806208'}]",,,,
1505319532394860549,1505319532394860549,2022-03-20 06:05:18 SE Asia Standard Time,2022-03-20,06:05:18,+0700,874243451465867264,marchmeiiow,Delima.,,gak usah cari gara-gara ya masih pagi gini. @ indihome,in,[],[],[],1,0,0,[],[],https://twitter.com/marchmeIIow/status/1505319532394860549,False,,0,,,,,,,,[],,,,
1505318366059237378,1505130337390653443,2022-03-20 06:00:40 SE Asia Standard Time,2022-03-20,06:00:40,+0700,1493631792787574786,putra_anjaya01,Putra,,"@IndiHomeCare Min, kalo ingin memperluas jangkuan wifi IndiHome apakah bisa? #MauNanyaDong",in,[],[],[],0,0,0,['maunanyadong'],[],https://twitter.com/Putra_anjaya01/status/1505318366059237378,False,,0,,,,,,,,"[{'screen_name': 'IndiHomeCare', 'name': 'IndiHomeCare', 'id': '765035200896118789'}]",,,,
1505318170969575424,1505155301573488642,2022-03-20 05:59:54 SE Asia Standard Time,2022-03-20,05:59:54,+0700,1493631792787574786,putra_anjaya01,Putra,,"@IndiHomeCare Min, Kalo biaya pasang IndiHome itu gratis atau bayar? #MauNanyaDong",in,[],[],[],1,0,0,['maunanyadong'],[],https://twitter.com/Putra_anjaya01/status/1505318170969575424,False,,0,,,,,,,,"[{'screen_name': 'IndiHomeCare', 'name': 'IndiHomeCare', 'id': '765035200896118789'}]",,,,
1505318017994952705,1503692419098820610,2022-03-20 05:59:17 SE Asia Standard Time,2022-03-20,05:59:17,+0700,1493631792787574786,putra_anjaya01,Putra,,"@IndiHomeCare Min, Kalo biaya pasang IndiHome itu gratis atau bayar? #MauNanyaDong",in,[],[],[],0,0,0,['maunanyadong'],[],https://twitter.com/Putra_anjaya01/status/1505318017994952705,False,,0,,,,,,,,"[{'screen_name': 'IndiHomeCare', 'name': 'IndiHomeCare', 'id': '765035200896118789'}]",,,,
1505317901880164353,1505317901880164353,2022-03-20 05:58:49 SE Asia Standard Time,2022-03-20,05:58:49,+0700,1430387201578205194,naminncoty,nana,,oke ..  bye gue keknya bakalan online sampe indihome bener kuota gue sampe jam 6 doang 😃🖕🏻,in,[],[],[],0,0,0,[],[],https://twitter.com/naminncoty/status/1505317901880164353,False,,0,,,,,,,,[],,,,
1505316963517550599,1505316963517550599,2022-03-20 05:55:06 SE Asia Standard Time,2022-03-20,05:55:06,+0700,1422785286946189316,pur_eni,Enipung,,Sobat pengen nonton tayangan box office disney+ hotstar? langganan IndiHome aja! #AktivitasTanpaBatas #InternetnyaIndonesia #IndiHomeMbois,in,[],[],[],0,0,1,"['aktivitastanpabatas', 'internetnyaindonesia', 'indihomembois']",[],https://twitter.com/pur_eni/status/1505316963517550599,False,,0,,,,,,,,[],,,,
1505316249919578112,1505316249919578112,2022-03-20 05:52:16 SE Asia Standard Time,2022-03-20,05:52:16,+0700,1422785286946189316,pur_eni,Enipung,,Sobat butuh internet rumah yg kencang dan banyak kelebihannya? Yah pasti IndiHome lah! #InternetnyaIndonesia #IndoHomeMbois #AktivitasTanpaBatas,in,[],[],[],0,0,1,"['internetnyaindonesia', 'indohomembois', 'aktivitastanpabatas']",[],https://twitter.com/pur_eni/status/1505316249919578112,False,,0,,,,,,,,[],,,,
1505316156495699969,1505316156495699969,2022-03-20 05:51:53 SE Asia Standard Time,2022-03-20,05:51:53,+0700,1468418732011982850,dlrbfl_tw,Aburi Gyudon,,"@IndiHomeCare Min, Kalo biaya pasang IndiHome itu gratis atau bayar? #MauNanyaDong",in,[],[],[],0,0,0,['maunanyadong'],[],https://twitter.com/dlrbfl_tw/status/1505316156495699969,False,,0,,,,,,,,[],,,,
1505316102703706113,1505316102703706113,2022-03-20 05:51:40 SE Asia Standard Time,2022-03-20,05:51:40,+0700,1445725972922130443,jelasawan,Awan,,Teknisi magang indihome terfavorit ini 😁😁😁 #AktivitasTanpaBatas #IndiHomeMbois #IndiHome #InternetnyaIndonesia,tl,[],[],[],0,0,1,"['aktivitastanpabatas', 'indihomembois', 'indihome', 'internetnyaindonesia']",[],https://twitter.com/Jelasawan/status/1505316102703706113,False,https://twitter.com/IndiHomeJBN/status/1504737710036385792,0,,,,,,,,[],,,,
1505315590163992581,1505315590163992581,2022-03-20 05:49:38 SE Asia Standard Time,2022-03-20,05:49:38,+0700,1504158191684567041,afajarfbrn_,Ahmad Fajar Febrian,,"Sudahh dikeluarin abang²an seniornya dan benar pertandingannya lebih seruu, makin seru lagi kalau nontinnya pakai internet indihome #AktivitasTanpaBatas #InternetnyaIndonesia  https://t.co/nR1KZEB6AL",in,[],[],[],0,0,0,"['aktivitastanpabatas', 'internetnyaindonesia']",[],https://twitter.com/afajarfbrn_/status/1505315590163992581,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1505315449927778304/pu/img/1kPEvRmEYBWY7ex8.jpg,,,,,,,[],,,,
